ticker,company_name,headline,date,price_before,price_after,direction,percent_change
WMT,Walmart Inc.,Walmart retention rates improve alongside new sign-ups,2023-12-22,184.80,198.49,up,7.40
NKE,Nike Inc.,Nike domestic and international user base both expand,2023-01-05,91.88,94.64,up,3.01
GOOGL,Alphabet Inc.,Alphabet Google Search engagement metrics surge in Q4 report,2024-08-26,134.18,144.24,up,7.50
JPM,JPMorgan Chase & Co.,JPMorgan raises quarterly dividend by 15%,2023-10-06,160.09,162.10,up,1.26
BAC,Bank of America Corp.,Bank of America board approves eighth consecutive dividend hike,2024-07-25,40.88,41.98,up,2.68
KO,Coca-Cola Co.,Coca-Cola boosts payout signaling financial strength,2024-09-26,60.22,61.10,up,1.47
PEP,PepsiCo Inc.,PepsiCo increases annual dividend above analyst forecasts,2024-04-22,176.88,178.76,up,1.06
JNJ,Johnson & Johnson,J&J joins growing list of healthcare dividend raisers,2024-04-16,149.47,152.67,up,2.14
MRK,Merck & Co.,Merck lifts dividend to highest level in a decade,2023-07-13,114.22,117.39,up,2.77
XOM,Exxon Mobil Corp.,ExxonMobil announces surprise special dividend alongside raise,2023-05-09,96.19,98.70,up,2.61
CVX,Chevron Corp.,Chevron targets 40% payout ratio with new dividend policy,2023-03-24,168.75,171.40,up,1.57
CAT,Caterpillar Inc.,Caterpillar rewards shareholders with double-digit dividend boost,2023-06-15,338.86,346.47,up,2.25
UPS,United Parcel Service,UPS raises dividend for fifth straight year,2024-06-21,131.70,134.82,up,2.37
BA,Boeing Co.,Boeing wins $5B government aerospace contract,2024-08-01,221.15,229.37,up,3.72
GE,GE Aerospace,GE Aerospace selected for major international aerospace project,2024-08-14,173.47,179.71,up,3.60
CAT,Caterpillar Inc.,Caterpillar inks record contract with Fortune 100 client,2023-02-09,330.19,342.46,up,3.72
DE,Deere & Co.,Deere awarded multi-year tractors supply agreement,2024-09-20,395.80,409.17,up,3.38
UPS,United Parcel Service,UPS lands exclusive logistics deal with industry leader,2024-09-12,124.64,128.60,up,3.17
CVX,Chevron Corp.,Chevron wins competitive tender for massive energy project,2024-06-07,162.46,166.82,up,2.69
XOM,Exxon Mobil Corp.,Pentagon awards ExxonMobil next-gen crude oil development deal,2023-10-02,112.91,118.57,up,5.01
NVDA,NVIDIA Corp.,NVIDIA secures landmark GeForce RTX deployment contract,2023-08-07,474.98,492.43,up,3.67
INTC,Intel Corp.,Intel chosen for national tech infrastructure initiative,2024-01-17,34.15,35.43,up,3.75
MSFT,Microsoft Corp.,Microsoft signs largest tech contract in company history,2024-05-31,430.64,451.18,up,4.77
